id,state_name,state_code,district_name,district_code,subdistrict_name,subdistrict_code,cluster_name,village_name,udise_village_code,pincode,ward,school_name,udise_school_code,school_category,school_type,management,year_of_establishment,longitude,latitude,status,location_type,class_from,class_to,aff_board_sec,aff_board_h_sec,pre_primary,class_rooms,other_rooms,total_teachers,pre_primary_students,i_students,ii_students,iii_students,iv_students,v_students,vi_students,vii_students,viii_students,ix_students,x_students,xi_students,xii_students,class_students,class_with_pre_primary_students
9028,Meghalaya,17,West Garo Hills,278,,,Sadolpara Crc,Dechinggre,170102056,794003,,DECHINGGRE LPS,17010205601,Primary,Co. Educational,Department of Education,2000,90.441389,25.468056,Operational,Rural,1,5,,,0,1,0,2,0,16,8,11,7,13,0,0,0,0,0,0,0,55,55
9029,Meghalaya,17,West Garo Hills,278,,,Ajigre Crc,Chibonggre,170102057,794003,,CHIBONGGRE GOVT. LPS,17010205701,Primary,Co. Educational,Department of Education,1968,90.126389,25.414722,Operational,Rural,1,5,,,0,1,1,2,0,6,3,3,1,2,0,0,0,0,0,0,0,15,15
9030,Meghalaya,17,West Garo Hills,278,,,Ajigre Crc,Chibonggre,170102057,794003,,CHIBONGGRE UPS,17010205702,Upper Primary only,Co. Educational,Government Aided,1982,90.203056,25.826111,Operational,Rural,6,8,,,0,1,0,4,0,0,0,0,0,0,9,3,2,0,0,0,0,14,14
9031,Meghalaya,17,West Garo Hills,278,,,Sadolpara Crc,Sadolpara,170102058,794003,,SADOLPARA GOVT. LPS,17010205801,Primary,Co. Educational,Department of Education,1954,90.08,25.419167,Operational,Rural,1,5,,,0,2,0,2,12,8,6,2,3,3,0,0,0,0,0,0,0,22,34
9032,Meghalaya,17,West Garo Hills,278,,,Sadolpara Crc,Sadolpara,170102058,794104,,SADOLPARA UPS,17010205802,Upper Primary only,Co. Educational,Department of Education,2006,90.213889,25.439167,Operational,Rural,6,8,,,0,3,0,4,0,0,0,0,0,0,27,23,28,0,0,0,0,78,78
9033,Meghalaya,17,West Garo Hills,278,,,Sadolpara Crc,Sadolpara,170102058,794003,,ST. THOMAS SCHOOL,17010205803,Primary,Co. Educational,Private Unaided (Recognized),2003,90.149944,25.665778,Operational,Rural,1,5,,,0,5,0,3,21,17,10,10,2,0,0,0,0,0,0,0,0,39,60
9034,Meghalaya,17,West Garo Hills,278,,,Sadolpara Crc,Sadolpara,170102058,794003,,ACHIK MISSION SCHOOL,17010205804,Primary,Co. Educational,Private Unaided (Recognized),2005,90.761944,25.845833,Operational,Rural,1,5,,,0,3,0,8,39,19,25,16,12,7,0,0,0,0,0,0,0,79,118
9035,Meghalaya,17,West Garo Hills,278,,,Sadolpara Crc,Sadolpara,170102058,794104,,SADOLPARA SECONDARY SCHOOL,17010205805,Secondary Only,Co. Educational,Private Unaided (Recognized),2009,90.213889,25.439167,Operational,Rural,9,10,State Board,,0,2,1,6,0,0,0,0,0,0,0,0,0,19,23,0,0,42,42
9036,Meghalaya,17,West Garo Hills,278,,,Sadolpara Crc,Rongchugre,170102059,794003,,RONGCHUGRE LPS,17010205901,Primary,Co. Educational,Government Aided,1953,90.745556,25.443056,Operational,Rural,1,5,,,0,3,0,2,4,6,4,2,3,1,0,0,0,0,0,0,0,16,20
9037,Meghalaya,17,West Garo Hills,278,,,Sadolpara Crc,Rongchugre,170102059,794003,,RONGCHUGRE UPS,17010205902,Upper Primary only,Co. Educational,Government Aided,1981,90.915556,25.634722,Operational,Rural,6,8,,,0,3,0,5,0,0,0,0,0,0,25,18,16,0,0,0,0,59,59
9038,Meghalaya,17,West Garo Hills,278,,,Sotmarenggre Crc,Rondupara,170102060,794104,,RONDUPARA GOVT. LPS,17010206001,Primary,Co. Educational,Department of Education,1952,90.174194,25.784361,Operational,Rural,1,5,,,0,1,0,2,10,11,11,16,9,1,0,0,0,0,0,0,0,48,58
9039,Meghalaya,17,West Garo Hills,278,,,Sotmarenggre Crc,Rondupara,170102060,794104,,RONDUPARA UPS,17010206002,Upper Primary only,Co. Educational,Government Aided,1992,90.174611,25.784472,Operational,Rural,6,8,,,0,3,0,4,0,0,0,0,0,0,5,7,10,0,0,0,0,22,22
9040,Meghalaya,17,West Garo Hills,278,,,Sotmarenggre Crc,Rondupara,170102060,794003,,RONDUPARA AKELLA SSA UPS,17010206003,Upper Primary only,Co. Educational,Department of Education,2010,90.15978,25.78931,Operational,Rural,6,8,,,0,3,4,4,0,0,0,0,0,0,10,10,10,0,0,0,0,30,30
9041,Meghalaya,17,West Garo Hills,278,,,Sotmarenggre Crc,Rondupara,170102060,794003,,RONDUPARA AKELLA SEC. SCHOOL,17010206004,Secondary Only,Co. Educational,Private Unaided (Recognized),2012,90.17631,25.78931,Operational,Rural,9,10,State Board,,0,3,0,5,0,0,0,0,0,0,0,0,0,10,10,0,0,20,20
9042,Meghalaya,17,West Garo Hills,278,,,Magalpara Crc,Magalpara,170102061,794003,,MAGALPARA LPS,17010206101,Primary,Co. Educational,Department of Education,1960,90.144056,25.817333,Operational,Rural,1,5,,,0,2,0,2,0,15,11,17,11,12,0,0,0,0,0,0,0,66,66
9043,Meghalaya,17,West Garo Hills,278,,,Magalpara Crc,Magalpara,170102061,794003,,MAGALPARA UPS,17010206102,Upper Primary only,Co. Educational,Government Aided,1985,90.145111,25.765722,Operational,Rural,6,8,,,0,4,1,5,0,0,0,0,0,0,15,11,8,0,0,0,0,34,34
9044,Meghalaya,17,West Garo Hills,278,,,Magalpara Crc,Magalpara,170102061,794003,,MAGALPARA ENGLISH SCHOOL,17010206103,Primary,Co. Educational,Private Unaided (Recognized),2014,90.14403,25.76706,Operational,Rural,1,5,,,0,7,0,5,30,7,8,10,16,8,0,0,0,0,0,0,0,49,79
9045,Meghalaya,17,West Garo Hills,278,,,Magalpara Crc,Magalpara,170102061,794003,,MAGALPARA SECONDARY SCHOOL,17010206104,Secondary Only,Co. Educational,Private Unaided (Recognized),2016,90.14517,25.76567,Operational,Rural,9,10,State Board,,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9046,Meghalaya,17,West Garo Hills,278,,,Magalpara Crc,Romgre,170102062,794104,,ROMGRE UPS,17010206201,Upper Primary only,Co. Educational,Government Aided,1983,90.726944,25.906667,Operational,Rural,6,8,,,0,3,0,4,0,0,0,0,0,0,30,29,26,0,0,0,0,85,85
9047,Meghalaya,17,West Garo Hills,278,,,Magalpara Crc,Romgre,170102062,794104,,ROMGRE LPS,17010206202,Primary,Co. Educational,Department of Education,1954,90.08125,25.766528,Operational,Rural,1,5,,,0,2,0,2,0,55,15,8,13,7,0,0,0,0,0,0,0,98,98
9048,Meghalaya,17,West Garo Hills,278,,,Magalpara Crc,Romgre,170102062,794003,,ROM SONGGITAL SSA LPS,17010206203,Primary,Co. Educational,Department of Education,2005,90.412222,25.793611,Operational,Rural,1,5,,,0,1,0,2,0,5,3,2,5,3,0,0,0,0,0,0,0,18,18
9049,Meghalaya,17,West Garo Hills,278,,,Magalpara Crc,Jangrapara,170102063,794104,,JANGRAPARA LPS,17010206301,Primary,Co. Educational,Department of Education,1965,90.878889,25.691389,Operational,Rural,1,5,,,0,2,0,3,0,15,11,18,11,5,0,0,0,0,0,0,0,60,60
9050,Meghalaya,17,West Garo Hills,278,,,Magalpara Crc,Jangrapara,170102063,794104,,JANGRAPARA UPS,17010206302,Upper Primary only,Co. Educational,Department of Education,2005,90.888889,25.878056,Operational,Rural,6,8,,,0,3,1,4,0,0,0,0,0,0,9,10,16,0,0,0,0,35,35
9051,Meghalaya,17,West Garo Hills,278,,,Magalpara Crc,Jangrapara,170102063,794104,,JANGRAPARA SEC. SCHOOL,17010206303,Secondary Only,Co. Educational,Government Aided,2012,90.888889,25.878056,Operational,Rural,9,10,State Board,,0,2,1,4,0,0,0,0,0,0,0,0,0,9,15,0,0,24,24
9052,Meghalaya,17,West Garo Hills,278,,,Sotmarenggre Crc,Dimmakgre,170102064,794104,,DIMMAKGRE LPS,17010206401,Primary,Co. Educational,Department of Education,2001,90.343056,25.691389,Operational,Rural,1,5,,,0,2,0,2,26,7,6,5,7,4,0,0,0,0,0,0,0,29,55
9053,Meghalaya,17,West Garo Hills,278,,,Sotmarenggre Crc,Dimmakgre,170102064,794104,,DIMMAKGRE SSA UPS,17010206402,Upper Primary only,Co. Educational,Department of Education,2010,90.343056,25.691389,Operational,Rural,6,8,,,0,3,0,3,0,0,0,0,0,0,8,4,5,0,0,0,0,17,17
9054,Meghalaya,17,West Garo Hills,278,,,Saka Boldakgre Crc,Songmaranggre,170102065,794003,,SONGMARANGGRE GOVT. LPS,17010206501,Primary,Co. Educational,Department of Education,1968,90.086667,25.751111,Operational,Rural,1,5,,,0,2,1,2,0,12,8,8,1,8,0,0,0,0,0,0,0,37,37
9055,Meghalaya,17,West Garo Hills,278,,,Magalpara Crc,Rebugre,170102066,794003,,REBUGRE GOVT. LPS,17010206601,Primary,Co. Educational,Department of Education,1956,90.841389,25.2375,Operational,Rural,1,5,,,0,2,0,2,0,10,6,4,4,4,0,0,0,0,0,0,0,28,28
9056,Meghalaya,17,West Garo Hills,278,,,Magalpara Crc,Rebugre,170102066,794003,,REBUGRE UPS,17010206602,Upper Primary only,Co. Educational,Department of Education,2005,90.819722,25.205833,Operational,Rural,6,8,,,0,3,0,4,0,0,0,0,0,0,4,5,7,0,0,0,0,16,16
9057,Meghalaya,17,West Garo Hills,278,,,Magalpara Crc,Deringgagre,170102067,794003,,DERINGGAGRE LPS,17010206701,Primary,Co. Educational,Department of Education,1999,90.971111,25.399167,Operational,Rural,1,5,,,0,3,0,2,8,3,3,1,4,4,0,0,0,0,0,0,0,15,23
9058,Meghalaya,17,West Garo Hills,278,,,Magalpara Crc,Kantananggre,170102068,794003,,KANTANANGGRE LPS,17010206801,Primary,Co. Educational,Department of Education,1989,90.168889,25.750361,Operational,Rural,1,5,,,0,1,0,2,0,10,8,8,3,3,0,0,0,0,0,0,0,32,32
9059,Meghalaya,17,West Garo Hills,278,,,Magalpara Crc,Bikonggre,170102069,794003,,BIKONGGRE UPS,17010206901,Upper Primary only,Co. Educational,Government Aided,1981,90.088889,25.328333,Operational,Rural,6,8,,,0,2,3,5,0,0,0,0,0,0,8,5,6,0,0,0,0,19,19
9060,Meghalaya,17,West Garo Hills,278,,,Magalpara Crc,Bikonggre,170102069,794003,,BIKONGGRE GOVT. LPS,17010206902,Primary,Co. Educational,Department of Education,1951,90.893611,25.723333,Operational,Rural,1,5,,,0,2,0,2,0,3,2,2,5,2,0,0,0,0,0,0,0,14,14
